Country,Province,City,Temperature,Feels_Like,Min_Temp,Max_Temp,Humidity,Pressure,Wind_Speed,Cloudiness,Description,Longitude,Latitude,Sunrise,Sunset,Error
,,Swat,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Khyber Pakhtunkhwa,Dera Ismail Khan,35.95,35.39,35.95,35.95,27.0,1000.0,2.57,0.0,Clear sky,70.9024,31.8327,06:00 AM,06:22 PM,
Pakistan,Khyber Pakhtunkhwa,Bannu,29.81,28.89,29.81,29.81,34.0,1002.0,2.89,4.0,Clear sky,70.6027,32.9854,06:01 AM,06:24 PM,
Pakistan,Khyber Pakhtunkhwa,Charsadda,31.34,31.85,31.34,31.34,43.0,1002.0,3.81,47.0,Scattered clouds,71.7317,34.1435,05:56 AM,06:20 PM,
Pakistan,Khyber Pakhtunkhwa,Nowshera,31.38,32.45,31.38,31.38,46.0,1002.0,3.42,1.0,Clear sky,71.9977,34.0058,05:55 AM,06:19 PM,
Pakistan,Khyber Pakhtunkhwa,Haripur,28.75,31.06,28.75,28.75,63.0,1004.0,0.9,0.0,Clear sky,72.9341,34.0,05:51 AM,06:15 PM,
Pakistan,Khyber Pakhtunkhwa,Abbottabad,18.51,18.37,18.51,18.51,75.0,1006.0,1.07,0.0,Clear sky,73.2145,34.1469,05:50 AM,06:14 PM,
Pakistan,Khyber Pakhtunkhwa,Mansehra,20.42,20.48,20.42,20.42,75.0,1006.0,0.52,0.0,Clear sky,73.2,34.3333,05:50 AM,06:14 PM,
,,Batkhela,,,,,,,,,,,,,,Error fetching data: 404
,,Khyber,,,,,,,,,,,,,,Error fetching data: 404
,,Buner,,,,,,,,,,,,,,Error fetching data: 404
,,Shangla,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Khyber Pakhtunkhwa,Lakki Marwat,35.09,34.03,35.09,35.09,26.0,1001.0,3.04,20.0,Few clouds,70.9114,32.6079,06:00 AM,06:23 PM,
Pakistan,Khyber Pakhtunkhwa,Hangu,21.02,20.56,21.02,21.02,53.0,1015.0,0.62,2.0,Clear sky,117.7892,39.2489,02:50 AM,03:18 PM,
Pakistan,Khyber Pakhtunkhwa,Tank,36.0,35.46,36.0,36.0,27.0,1000.0,2.93,0.0,Clear sky,70.3793,32.2217,06:02 AM,06:25 PM,
Pakistan,Khyber Pakhtunkhwa,Dir,18.3,18.04,18.3,18.3,71.0,1010.0,1.24,17.0,Few clouds,71.8756,35.2058,05:55 AM,06:20 PM,
Pakistan,Khyber Pakhtunkhwa,Chitral,22.02,21.32,22.02,22.02,40.0,1009.0,4.3,98.0,Overcast clouds,71.7858,35.8462,05:55 AM,06:20 PM,
Pakistan,Khyber Pakhtunkhwa,Upper Dir,18.3,18.04,18.3,18.3,71.0,1010.0,1.24,17.0,Few clouds,71.8756,35.2058,05:55 AM,06:20 PM,
,,Lower Dir,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Khyber Pakhtunkhwa,Swabi,27.15,27.9,27.15,27.15,55.0,1003.0,1.65,0.0,Clear sky,72.4699,34.1199,05:53 AM,06:17 PM,
,,Kurram,,,,,,,,,,,,,,Error fetching data: 404
,,Orakzai,,,,,,,,,,,,,,Error fetching data: 404
,,North Waziristan,,,,,,,,,,,,,,Error fetching data: 404
,,South Waziristan,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Khyber Pakhtunkhwa,Pabbi,31.38,31.74,31.38,31.38,42.0,1002.0,3.68,5.0,Clear sky,71.7989,34.0106,05:56 AM,06:20 PM,
,,Takht Bhai,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Khyber Pakhtunkhwa,Pindi Gheb,32.99,33.35,32.99,32.99,38.0,1002.0,2.14,0.0,Clear sky,72.2661,33.2402,05:54 AM,06:17 PM,
Pakistan,Khyber Pakhtunkhwa,Jand,33.35,33.3,33.35,33.35,35.0,1001.0,1.35,2.0,Clear sky,72.0193,33.4299,05:55 AM,06:18 PM,
Pakistan,Khyber Pakhtunkhwa,Shergarh,25.99,25.99,25.99,25.99,84.0,1002.0,2.43,3.0,Clear sky,79.35,28.65,05:27 AM,05:48 PM,
,,Jamrud,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Khyber Pakhtunkhwa,Bara,31.9,35.7,31.9,31.9,56.0,1010.0,3.33,37.0,Scattered clouds,10.7288,10.3744,10:06 AM,10:17 PM,
Pakistan,Khyber Pakhtunkhwa,Landi Kotal,26.33,26.33,26.33,26.33,51.0,1004.0,1.52,68.0,Broken clouds,71.1467,34.1017,05:58 AM,06:22 PM,
Pakistan,Balochistan,Quetta,26.22,26.22,26.22,26.22,16.0,1007.0,3.56,0.0,Clear sky,67.0097,30.199,06:16 AM,06:37 PM,
Pakistan,Balochistan,Gwadar,27.19,30.27,27.19,27.19,81.0,1004.0,5.72,1.0,Clear sky,62.3254,25.1216,06:36 AM,06:55 PM,
Pakistan,Balochistan,Hub,13.3,12.2,12.48,15.03,58.0,1021.0,5.66,100.0,Overcast clouds,11.8833,49.8,09:48 AM,10:26 PM,
